"Fecha","Valor"
"30-06-2009",74997.8
"30-09-2009",76667.6
"31-12-2009",80066.9
"31-03-2010",83764.1
"30-06-2010",80946.3
"30-09-2010",82168.1
"31-12-2010",87555.7
"31-03-2011",91460.7
"30-06-2011",89623.1
"30-09-2011",92060.3
"31-12-2011",96206
"31-03-2012",98146.8
"30-06-2012",95001.2
"30-09-2012",95942.2
"31-12-2012",101835.8
"31-03-2013",103834.61
"30-06-2013",102176.63
"30-09-2013",102217.26
"31-12-2013",108154.72
"31-03-2014",109523.98
"30-06-2014",109403.88
"30-09-2014",111334.46
"31-12-2014",117064
"31-03-2015",117896.91
"30-06-2015",116183.79
"30-09-2015",118716.69
"31-12-2015",123225.44
"31-03-2016",123838.47
"30-06-2016",122799.32
"30-09-2016",124518.11
"31-12-2016",130845.8
"31-03-2017",131682.69
"30-06-2017",127650.31
"30-09-2017",130291.75
"31-12-2017",136882.66
"31-03-2018",136948.25
"30-06-2018",134588.69
"30-09-2018",136449.9
"31-12-2018",143381.24
"31-03-2019",144926.83
"30-06-2019",145349.16
"30-09-2019",147630.47
"31-12-2019",156065.57
"31-03-2020",151277.95
"30-06-2020",136512.54
"30-09-2020",150141.09
"31-12-2020",162190.93
"31-03-2021",162873.72
"30-06-2021",162091.32
"30-09-2021",167234.54
"31-12-2021",176661.29
"31-03-2022",179473.04
"30-06-2022",179537.77
"30-09-2022",185615.28
"31-12-2022",196342.55
"31-03-2023",200812.4
"30-06-2023",200847.42
"30-09-2023",203697.61
"31-12-2023",212696.62
"31-03-2024",215046.12
"30-06-2024",214009.32
