"Fecha","Valor"
"30-06-2009",7645.8
"30-09-2009",8728.9
"31-12-2009",9664.6
"31-03-2010",7904.4
"30-06-2010",8587.8
"30-09-2010",9372.3
"31-12-2010",10905.7
"31-03-2011",8665.1
"30-06-2011",9508.2
"30-09-2011",10040.5
"31-12-2011",11787.5
"31-03-2012",9450
"30-06-2012",9657.9
"30-09-2012",10915.8
"31-12-2012",13415.9
"31-03-2013",9430.14
"30-06-2013",11800.43
"30-09-2013",12004.06
"31-12-2013",13766.49
"31-03-2014",10326.9
"30-06-2014",12334.79
"30-09-2014",12904.12
"31-12-2014",14782.49
"31-03-2015",11855.61
"30-06-2015",12492.36
"30-09-2015",13431.81
"31-12-2015",15002.14
"31-03-2016",11252.32
"30-06-2016",11552.85
"30-09-2016",13968.34
"31-12-2016",15637.24
"31-03-2017",11742.32
"30-06-2017",11995.86
"30-09-2017",14345.69
"31-12-2017",17582.83
"31-03-2018",12758.97
"30-06-2018",13812.74
"30-09-2018",16109.34
"31-12-2018",18632.5
"31-03-2019",13665.33
"30-06-2019",14609.2
"30-09-2019",17509.59
"31-12-2019",20188.38
"31-03-2020",14332.93
"30-06-2020",14897.08
"30-09-2020",17888.81
"31-12-2020",21727.07
"31-03-2021",15335.99
"30-06-2021",16965.33
"30-09-2021",19303.82
"31-12-2021",23503.51
"31-03-2022",17180.01
"30-06-2022",18950.02
"30-09-2022",21881.11
"31-12-2022",27019.03
"31-03-2023",20622.29
"30-06-2023",23129.23
"30-09-2023",23189.9
"31-12-2023",24929.79
"31-03-2024",20670.85
"30-06-2024",21631.61
