"Fecha","Valor"
"30-06-2009",17180.5
"30-09-2009",16196.5
"31-12-2009",18393.6
"31-03-2010",20262
"30-06-2010",20276.9
"30-09-2010",18265.9
"31-12-2010",20515.3
"31-03-2011",23866.7
"30-06-2011",22583.7
"30-09-2011",22352.8
"31-12-2011",22162
"31-03-2012",24171.8
"30-06-2012",22011.5
"30-09-2012",21455.4
"31-12-2012",21933.5
"31-03-2013",23778.57
"30-06-2013",23284.22
"30-09-2013",21766.35
"31-12-2013",22767.49
"31-03-2014",24335.8
"30-06-2014",24870.08
"30-09-2014",24269.49
"31-12-2014",23792.89
"31-03-2015",24243.48
"30-06-2015",24496.68
"30-09-2015",23367
"31-12-2015",22287.72
"31-03-2016",23867.37
"30-06-2016",24118.64
"30-09-2016",22703.15
"31-12-2016",23451.67
"31-03-2017",25904.65
"30-06-2017",24993.89
"30-09-2017",23188.11
"31-12-2017",23291.14
"31-03-2018",25389.07
"30-06-2018",25476.24
"30-09-2018",24666.81
"31-12-2018",24647.75
"31-03-2019",26350.63
"30-06-2019",26529.72
"30-09-2019",25727.8
"31-12-2019",26002.06
"31-03-2020",27538.38
"30-06-2020",21895.37
"30-09-2020",23306.82
"31-12-2020",25341.13
"31-03-2021",28225.76
"30-06-2021",29053.21
"30-09-2021",30006.58
"31-12-2021",30600.54
"31-03-2022",34901.81
"30-06-2022",36763.29
"30-09-2022",34988.86
"31-12-2022",33742.28
"31-03-2023",36177.39
"30-06-2023",34678.17
"30-09-2023",33039.01
"31-12-2023",31587.4
"31-03-2024",34838.92
"30-06-2024",36378.46
