"Fecha","Valor"
"30-06-2009",12386.8
"30-09-2009",11359.1
"31-12-2009",12432.4
"31-03-2010",12062.5
"30-06-2010",12647
"30-09-2010",12992.1
"31-12-2010",13799.9
"31-03-2011",13626.1
"30-06-2011",13823.5
"30-09-2011",14684.1
"31-12-2011",15441
"31-03-2012",14820.7
"30-06-2012",15216.6
"30-09-2012",15110.2
"31-12-2012",16414.4
"31-03-2013",14521.32
"30-06-2013",15653.6
"30-09-2013",16060.58
"31-12-2013",16599.08
"31-03-2014",15781.53
"30-06-2014",16955.55
"30-09-2014",17134.95
"31-12-2014",17995.33
"31-03-2015",16063.27
"30-06-2015",16287.52
"30-09-2015",17793.54
"31-12-2015",18957.91
"31-03-2016",16061.27
"30-06-2016",17445.98
"30-09-2016",17127.94
"31-12-2016",19001.06
"31-03-2017",16797.89
"30-06-2017",17179.23
"30-09-2017",18703.37
"31-12-2017",18974.17
"31-03-2018",17034
"30-06-2018",18725
"30-09-2018",19486.35
"31-12-2018",20269.45
"31-03-2019",18858.3
"30-06-2019",21780.48
"30-09-2019",21907.27
"31-12-2019",22862.93
"31-03-2020",19336.23
"30-06-2020",18519.86
"30-09-2020",21291.87
"31-12-2020",23083.59
"31-03-2021",24280.23
"30-06-2021",26063.64
"30-09-2021",28472.39
"31-12-2021",29050.01
"31-03-2022",29800.35
"30-06-2022",29923.77
"30-09-2022",31955.14
"31-12-2022",32093.43
"31-03-2023",31896.19
"30-06-2023",31663.98
"30-09-2023",34766.21
"31-12-2023",34067.36
"31-03-2024",32898.42
"30-06-2024",33643.2
