"Fecha","Valor"
"30-06-2009",66165.1
"30-09-2009",65711.9
"31-12-2009",67381.6
"31-03-2010",69048.8
"30-06-2010",70970
"30-09-2010",71505.5
"31-12-2010",74355.2
"31-03-2011",76958.7
"30-06-2011",76498.5
"30-09-2011",80654.7
"31-12-2011",81055.1
"31-03-2012",84395.5
"30-06-2012",81625.5
"30-09-2012",83050.8
"31-12-2012",86717.4
"31-03-2013",85731.61
"30-06-2013",88630.94
"30-09-2013",89423.33
"31-12-2013",92464.67
"31-03-2014",91248.72
"30-06-2014",94483.36
"30-09-2014",96950.88
"31-12-2014",98743.29
"31-03-2015",96635.61
"30-06-2015",98920.1
"30-09-2015",101467.1
"31-12-2015",104347.14
"31-03-2016",102827.45
"30-06-2016",105141.61
"30-09-2016",106775.98
"31-12-2016",109768.87
"31-03-2017",108265.29
"30-06-2017",109436.69
"30-09-2017",112095.83
"31-12-2017",117261.74
"31-03-2018",113161.65
"30-06-2018",115969.39
"30-09-2018",119179.46
"31-12-2018",124555.71
"31-03-2019",121527.27
"30-06-2019",124206.7
"30-09-2019",126417.03
"31-12-2019",131869.59
"31-03-2020",124497.43
"30-06-2020",113987.8
"30-09-2020",126716.85
"31-12-2020",135785.48
"31-03-2021",137035.27
"30-06-2021",138196.2
"30-09-2021",144978.03
"31-12-2021",154904.38
"31-03-2022",154730.28
"30-06-2022",159866.86
"30-09-2022",166286.69
"31-12-2022",174720.37
"31-03-2023",172616.53
"30-06-2023",175761.43
"30-09-2023",179216.82
"31-12-2023",187342.98
"31-03-2024",186251.67
"30-06-2024",190042.81
