"Fecha","Valor"
"30-06-2009",22876
"30-09-2009",25296.9
"31-12-2009",27584.6
"31-03-2010",26222.3
"30-06-2010",28017
"30-09-2010",29916.7
"31-12-2010",31771.3
"31-03-2011",32232.3
"30-06-2011",33967.6
"30-09-2011",35720
"31-12-2011",34100.5
"31-03-2012",35199.1
"30-06-2012",34055.8
"30-09-2012",34474.9
"31-12-2012",36369.7
"31-03-2013",34315.33
"30-06-2013",36399.45
"30-09-2013",36633.45
"31-12-2013",37082.89
"31-03-2014",35612.86
"30-06-2014",37806.95
"30-09-2014",38199.08
"31-12-2014",37514.85
"31-03-2015",33930.11
"30-06-2015",35436.5
"30-09-2015",37265.87
"31-12-2015",36476.86
"31-03-2016",32290.62
"30-06-2016",35363.92
"30-09-2016",34730.6
"31-12-2016",36265.97
"31-03-2017",34647.15
"30-06-2017",34858.4
"30-09-2017",35960.84
"31-12-2017",39714.73
"31-03-2018",35608.78
"30-06-2018",40255.53
"30-09-2018",40584.92
"31-12-2018",42578.31
"31-03-2019",39631.34
"30-06-2019",40851.34
"30-09-2019",41482.82
"31-12-2019",43781.01
"31-03-2020",39435.21
"30-06-2020",31400.47
"30-09-2020",35680.23
"31-12-2020",42297.36
"31-03-2021",45182.97
"30-06-2021",51033.38
"30-09-2021",54700.43
"31-12-2021",60596.87
"31-03-2022",62183.18
"30-06-2022",67025.05
"30-09-2022",68476.07
"31-12-2022",65249.7
"31-03-2023",61820.93
"30-06-2023",64363.65
"30-09-2023",66146.42
"31-12-2023",66394.61
"31-03-2024",66138.43
"30-06-2024",69394.15
